URL,Title
https://www.google.com/preferences?hl=en-IN&fg=1&sa=X&ved=0ahUKEwiCxdT_t7qEAxXGzzgGHWGYDikQ5fUCCHs,Search Settings
https://policies.google.com/privacy?hl=en-IN&fg=1,Privacy Policy – Privacy & Terms – Google
https://policies.google.com/terms?hl=en-IN&fg=1,Google Terms of Service – Privacy & Terms – Google
